event_id,name,artist_ids,art_forms,genres,language,region,venue,style,mood_tags,festival,festivals,event_type,date,capacity,ticket_price,status,capacity_norm,ticket_price_norm
E0000,Live Shehan Wijesinghe,"['A0110', 'A0203']","['dance', 'crafts']","['traditional', 'sabaragamuwa']",['sinhala'],north_western,Colombo Racecourse,['contemporary'],"['spiritual', 'devotional', 'celebratory']",Unknown,[],competition,2026-07-24 12:53:44.319129,50,1500,upcoming,0.0,0.5
E0001,Night of Siva Ekanayake,"['A0442', 'A0132']","['drama', 'music']","['sokari', 'devotional_hindu', 'kolam']","['tamil', 'sinhala']",north_western,Ladies' College Auditorium,"['traditional', 'contemporary']","['spiritual', 'patriotic', 'devotional']",Unknown,[],workshop,2026-07-12 12:53:44.319165,100,500,upcoming,0.02564102564102564,0.16666666666666666
E0002,Live Angelo Kumara,['A0038'],['dance'],['sabaragamuwa'],['sinhala'],northern,Lumbini Theatre (Havelock Town),['contemporary'],"['celebratory', 'energetic', 'romantic']",Unknown,[],competition,2026-07-29 12:53:44.319192,1000,1000,upcoming,0.48717948717948717,0.3333333333333333
E0003,Evening with Malsha Pathirana,"['A0235', 'A0003']","['crafts', 'music']","['contemporary', 'fusion']","['sinhala', 'english']",southern,Galle Face Green,"['contemporary', 'fusion']","['patriotic', 'romantic']",Unknown,[],exhibition,2026-02-21 12:53:44.319212,2000,0,upcoming,1.0,0.0
E0004,Night of Siva Kumar,['A0433'],['drama'],['contemporary'],['tamil'],eastern,Kelaniya Raja Maha Vihara,['contemporary'],"['celebratory', 'devotional', 'energetic']",Unknown,[],competition,2026-03-15 12:53:44.319229,50,2000,upcoming,0.0,0.6666666666666666
E0005,Celebration of Nadeeka Liyanage,['A0292'],['drama'],"['street_drama', 'kolam']",['sinhala'],southern,Viharamahadevi Park Open Air Theatre,['traditional'],['romantic'],Unknown,[],concert,2026-03-12 12:53:44.319244,1000,500,upcoming,0.48717948717948717,0.16666666666666666
E0006,Night of Vasanthi Jayasuriya,['A0116'],['music'],"['carnatic', 'contemporary']",['tamil'],northern,University of Peradeniya Open Air Theatre,['contemporary'],['reflective'],Unknown,[],festival,2026-06-05 12:53:44.319259,50,500,upcoming,0.0,0.16666666666666666
E0007,Celebration of Roshan Perera,"['A0299', 'A0174']",['drama'],"['kolam', 'nadagam']",['sinhala'],central,Diyatha Uyana,"['traditional', 'contemporary']","['celebratory', 'devotional']",Unknown,[],performance,2026-07-11 12:53:44.319276,50,1000,upcoming,0.0,0.3333333333333333
E0008,Peradeniya Arts Festival - Sanduni Gunasekara,"['A0415', 'A0063', 'A0039']","['dance', 'drama', 'visual_arts']","['street_drama', 'sokari', 'contemporary', 'fusion']",['sinhala'],eastern,National Museum Auditorium,"['fusion', 'contemporary']","['spiritual', 'intellectual', 'celebratory']",peradeniya_arts_festival,['peradeniya_arts_festival'],ritual_ceremony,2026-03-03 12:53:44.319304,200,1000,upcoming,0.07692307692307693,0.3333333333333333
E0009,Live Roshan Jayawardena,['A0009'],['literature'],['traditional'],['sinhala'],central,Colombo University Arts Theatre,['contemporary'],"['devotional', 'energetic', 'reflective']",Unknown,[],exhibition,2026-06-07 12:53:44.319336,200,3000,upcoming,0.07692307692307693,1.0
