event_id,name,artist_ids,art_forms,genres,language,city,venue,style,mood_tags,festival,festivals,event_type,date,capacity,ticket_price,status
E0000,Peradeniya Arts Festival - Hiruni Kumar,"['A0049', 'A0004', 'A0001']","['literature', 'music', 'crafts']","['traditional', 'elle', 'contemporary']","['english', 'sinhala']",Badulla,Mount Lavinia Hotel Ballroom,['contemporary'],"['devotional', 'spiritual', 'intellectual']",peradeniya_arts_festival,['peradeniya_arts_festival'],concert,2026-02-28T10:09:28.501177,50,500,upcoming
E0001,Evening with Chitral Somapala,['A0040'],['visual_arts'],['contemporary'],['sinhala'],Monaragala,Diyatha Uyana,['contemporary'],['patriotic'],,[],ritual_ceremony,2026-06-04T10:09:28.501201,500,3000,upcoming
E0002,Independence Day - Karunarathna Divulgane,['A0034'],['crafts'],['contemporary'],['english'],Ampara,Colombo Racecourse,['contemporary'],"['celebratory', 'reflective', 'intellectual']",independence_day,['independence_day'],festival,2026-05-08T10:09:28.501219,50,1000,upcoming
E0003,Live Kasun Thiyagarajah,"['A0051', 'A0009', 'A0034']","['visual_arts', 'crafts']","['traditional', 'contemporary']","['tamil', 'english', 'sinhala']",Kandy,Royal College Main Hall,['contemporary'],"['devotional', 'celebratory', 'intellectual']",,[],workshop,2026-08-03T10:09:28.501237,2000,3000,upcoming
E0004,Live Sachini Pathirana,['A0027'],['music'],"['folk_music', 'contemporary']",['english'],Kandy,Tower Hall Theatre,['contemporary'],['romantic'],,[],concert,2026-04-21T10:09:28.501250,50,1500,upcoming
E0005,Night of Sunil Ariyaratne,['A0038'],['visual_arts'],['traditional'],['sinhala'],Galle,BMICH (Bandaranaike Memorial International Conference Hall),['contemporary'],"['romantic', 'spiritual']",,[],exhibition,2026-08-07T10:09:28.501261,2000,3000,upcoming
E0006,Celebration of Amila Rajapaksa,['A0045'],['literature'],"['traditional', 'contemporary']",['english'],Hambantota,Viharamahadevi Park Open Air Theatre,['contemporary'],"['spiritual', 'energetic']",,[],competition,2026-02-20T10:09:28.501272,100,1500,upcoming
E0007,Celebration of Nimesh Pathirana,['A0050'],['visual_arts'],['contemporary'],['sinhala'],Chilaw,Punchi Theatre (Borella),['contemporary'],"['intellectual', 'energetic']",,[],performance,2026-05-24T10:09:28.501283,100,3000,upcoming
E0008,Celebration of Sachini Dissanayake,"['A0007', 'A0049']","['dance', 'literature']","['contemporary', 'fusion']",['sinhala'],Anuradhapura,Lionel Wendt Theatre,"['contemporary', 'fusion']","['devotional', 'spiritual', 'intellectual']",,[],exhibition,2026-04-28T10:09:28.501295,1000,0,upcoming
E0009,Live Nishani Wickremasinghe,"['A0036', 'A0040']","['visual_arts', 'drama']",['contemporary'],['sinhala'],Colombo,Colombo Hilton Grand Ballroom,['contemporary'],"['spiritual', 'patriotic']",,[],workshop,2026-06-14T10:09:28.501307,1000,1000,upcoming
